Tech,Health,Finance,Consumer,Energy,Weapons
1.0168293339856291,1.0090546160063238,1.025446760373203,1.0216594662482072,0.9920733150262024,1.027339555774322
1.0673417936974023,1.0565958449108088,1.0112366346032897,1.0535926119560917,0.9502687432694054,1.0463906696812189
1.0942109874358825,1.0484777976211272,1.0446384020415667,1.0741679877619705,0.9841437246174821,1.0392557811301408
1.0935364721625984,1.0479565931335713,1.0372175697720094,1.0722238183137272,0.9897153563447868,1.030855368947251
1.0778322254230925,1.0867860995905558,1.1578484038614518,1.0966952730232205,1.0224940503870497,1.071043186548932
1.0600025646467464,1.0912556082421314,1.1563467583483746,1.0793070507176488,1.0027992050301178,1.1098417410260994
1.082505080454922,1.086338780722457,1.1450292945621943,1.0804404245387131,1.0204526743386677,1.0913804861687746
1.0792190999041738,1.0814187564329725,1.1232991219122581,1.0684405499129335,0.993669361289346,1.0753576555732705
1.0867444440315137,1.0968612021688224,1.1339844099449328,1.0826379990550161,0.9980071505642307,1.1009358366246194
1.0919968644804743,1.0881479610168343,1.1567603438530916,1.1045038138860512,1.0206806962953547,1.118008082771378
1.0823072227670014,1.0861188146821326,1.1488216625370264,1.1105544262982663,1.0256261851784108,1.1178132690450662
1.0677487173175007,1.0763275347030847,1.1328283353779192,1.1038279930890347,1.011199123360049,1.1205018501112307
1.0753399964074974,1.066662437094806,1.1333716351502725,1.1004062371098535,1.0184948836428365,1.126664191764896
1.0635710259819717,1.0673615970334263,1.1210386352063002,1.0996257744817675,1.0187615766095992,1.1074013952691542
1.0510631382021964,1.0599462885602504,1.1477305012340688,1.1154337768118,1.0455452889578734,1.1255637298098602
1.0682486137068565,1.0617220079887502,1.1904221605245096,1.1334082508585177,1.0846539728965787,1.1464391336768331
1.0714375421404412,1.0576075369826676,1.1892458250155586,1.1378981548731333,1.0875091152109635,1.1462820252818187
1.0798194533558925,1.0701739262566718,1.1862750862825036,1.1305248187785475,1.0868160132766649,1.1351367459754276
1.0789605987503057,1.0805176917789623,1.1628404824816014,1.1308222375397818,1.0559631089406003,1.1098231014161388
1.1012743677853953,1.10294879631605,1.1778181203938671,1.1427267374013879,1.0531284828649274,1.1058657361486688
1.1070190579605677,1.124500314517961,1.1885265234898714,1.1517916862667559,1.0648184514501242,1.1030213963134288
1.1044250487203562,1.121361397806253,1.1798696545310279,1.1527613683851463,1.0564742962151876,1.1163374585598476
1.1028108931224356,1.128175455496238,1.1973598040227877,1.1527514021103278,1.0667101842422881,1.1288530795233074
1.1054899794726314,1.1312234957443157,1.193077505822182,1.1554175317402078,1.0617017394512496,1.112195298366131
1.1101353409248214,1.1497290091432566,1.191506138158003,1.1588973858502187,1.0798227565365146,1.1177178823202334
1.0881840261393418,1.1434543777799666,1.1806740650352094,1.1508789034560232,1.069850272390908,1.1173983626037072
1.0885514970221999,1.134977535134915,1.178674990256258,1.1478453521425807,1.0793678634961101,1.1019192968562561
1.0921466353985276,1.1283128978589931,1.1664746739856526,1.201230694051927,1.0794974300086475,1.1106321196830216
1.0874418701665072,1.1002533134708674,1.1595178028556354,1.1885187563933184,1.0662147747574813,1.0927063247382145
1.1070680445329895,1.103129449642879,1.173939932338539,1.2094403435447845,1.0988570435628575,1.0944727271153862
1.1147456125205017,1.0923100611875707,1.1760022565000026,1.214162832975344,1.1042226618772601,1.0932757119383933
1.114387744148584,1.1062475006168906,1.179732234791343,1.2208779051705922,1.1076412300617824,1.0900075484233835
1.1035052016601339,1.1014394145029667,1.1758531368677019,1.2056736972005877,1.1036462421013904,1.0940850786778198
1.1165721625516047,1.0924802199949235,1.2009280220822691,1.2208598990098742,1.1074726049832757,1.0780027323233403
